Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
6,4h,0.017878,6.991987,55.935894,0.888672,1.000000,1.000000,3,481,0,481,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,8h,0.017984,6.950467,55.603734,0.888672,1.000000,1.000000,3,241,0,241,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,12h,0.018020,6.936727,55.493814,0.888672,1.000000,1.000000,3,162,0,162,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,24h,0.018056,6.922927,55.383414,0.888672,1.000000,1.000000,3,82,0,82,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,15m,0.015890,7.866484,62.931871,4.692383,1.000000,1.000000,3,7691,0,7691,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,30m,0.016879,7.405684,59.245471,4.692383,1.000000,1.000000,3,3837,0,3837,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,1h,0.017418,7.176364,57.410911,4.692383,1.000000,1.000000,3,1919,0,1919,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,2h,0.017701,7.061584,56.492671,4.692383,1.000000,1.000000,3,959,0,959,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,4h,0.017846,7.004404,56.035231,4.692383,1.000000,1.000000,3,481,0,481,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,8h,0.017919,6.975724,55.805791,4.692383,1.000000,1.000000,3,241,0,241,0,0.000000,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
