Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
11,12h,0.015118,9.602199,66.144981,6.698516,1.000000,1.000000,3,30,8,26.666667,1384059.036719,348979.673438,60481.250000,173007.379590,43622.459180,7560.156250,173390.567969,44386.735938,22570.312500
11,24h,0.015149,9.532861,66.010781,6.537814,1.000000,1.000000,3,29,8,27.586207,2656998.113574,669824.527148,96656.640625,332124.764197,83728.065894,12082.080078,346755.550293,88714.600586,45140.625000
12,15m,0.013904,10.265040,71.921340,5.481728,1.000000,1.000000,4,40,14,35.000000,50961.213428,13856.826855,5013.530273,3640.086673,989.773347,358.109305,3648.712207,1020.524414,587.246094
12,30m,0.014684,9.700247,68.103332,5.494086,1.000000,1.000000,4,40,13,32.500000,94225.845850,24715.391699,8854.658203,7248.141988,1901.183977,681.127554,7257.034863,1925.969727,1175.537109
12,1h,0.015197,9.336545,65.803882,5.416465,1.000000,1.000000,4,37,15,40.540541,216823.835449,55771.920898,21994.226074,14454.922363,3718.128060,1466.281738,14457.740479,3731.939453,2351.074219
12,2h,0.015312,9.306955,65.307289,5.442232,1.000000,1.000000,4,40,12,30.000000,330212.412939,84143.875879,27566.428223,27517.701078,7011.989657,2297.202352,28885.480957,7370.961914,4702.148438
12,4h,0.015243,9.445021,65.605709,5.446799,1.000000,1.000000,4,37,12,32.432432,659512.891260,167165.982520,55069.189453,54959.407605,13930.498543,4589.099121,57740.961914,14681.923828,9404.296875
12,8h,0.015064,9.620428,66.384287,5.545360,1.000000,1.000000,4,32,15,46.875000,1564117.632349,395640.714697,147255.661621,104274.508823,26376.047646,9817.044108,115451.923828,29303.847656,18808.593750
12,12h,0.015122,9.608448,66.129477,5.567305,1.000000,1.000000,4,33,11,33.333333,1649216.717871,416466.235742,122389.121094,149928.792534,37860.566886,11126.283736,173162.885742,43925.771484,28212.890625
12,24h,0.015104,9.593152,66.209424,5.416271,1.000000,1.000000,4,30,9,30.000000,2586255.637012,651692.174023,134898.452148,287361.737446,72410.241558,14988.716905,346295.771484,87791.542969,56425.781250
13,15m,0.014222,10.036686,70.313395,2.645183,1.000000,1.000000,4,40,7,17.500000,25407.262939,6839.125879,260.156250,3629.608991,977.017983,37.165179,3658.326782,1022.953564,130.078125
13,30m,0.014893,9.565701,67.146433,2.651246,1.000000,1.000000,4,40,12,30.000000,86830.292871,22580.985742,5881.318359,7235.857739,1881.748812,490.109863,7256.653564,1925.907129,1142.578125
13,1h,0.015304,9.269450,65.344012,2.621046,1.000000,1.000000,4,39,10,25.641026,144440.800903,36951.251807,5780.725098,14444.080090,3695.125181,578.072510,14464.112915,3734.525830,2285.156250
13,2h,0.015442,9.228601,64.758663,2.604315,1.000000,1.000000,4,39,9,23.076923,236566.516431,59948.232861,10394.379883,26285.168492,6660.914762,1154.931098,28882.734375,7365.468750,4570.312500
13,4h,0.015341,9.389857,65.186556,2.611584,1.000000,1.000000,4,37,11,29.729730,579771.195190,146321.790381,23605.473633,52706.472290,13301.980944,2145.952148,57735.468750,14670.937500,9140.625000
13,8h,0.015216,9.542463,65.718872,2.629320,1.000000,1.000000,4,34,11,32.352941,1211201.929834,304910.859668,51236.835938,110109.266349,27719.169061,4657.894176,115409.802002,29221.354004,15468.615723
13,12h,0.015232,9.518169,65.651673,2.638769,1.000000,1.000000,4,33,9,27.272727,1341739.753052,337345.156104,47055.285645,149082.194784,37482.795123,5228.365072,173100.404102,43802.208203,23203.017578
13,24h,0.015091,9.634614,66.265303,2.591505,1.000000,1.000000,4,32,8,25.000000,2426640.281812,608630.713623,26014.812012,303330.035226,76078.839203,3251.851501,345834.350464,86887.600928,12499.609375
14,15m,0.014249,10.017461,70.179090,6.726434,1.000000,1.000000,4,40,10,25.000000,36307.308545,9736.767090,2263.349609,3630.730854,973.676709,226.334961,3661.630029,1030.610059,571.289062
14,30m,0.014884,9.572600,67.186348,6.702218,1.000000,1.000000,4,40,15,37.500000,108668.034570,28436.869141,9706.289062,7244.535638,1895.791276,647.085938,7271.072705,1943.195410,1142.578125
14,1h,0.015254,9.300868,65.558692,6.677362,1.000000,1.000000,4,40,9,22.500000,130043.954785,33355.809570,5763.300781,14449.328309,3706.201063,640.366753,14482.145410,3766.390820,1928.925781
14,2h,0.015322,9.301828,65.267125,6.682251,1.000000,1.000000,4,37,10,27.027027,269935.519507,68589.389014,17168.088379,26993.551951,6858.938901,1716.808838,28921.956543,7447.413086,4570.312500
14,4h,0.015166,9.483960,65.934837,6.769931,1.000000,1.000000,4,37,15,40.540541,796759.122632,202321.095264,61256.535645,53117.274842,13488.073018,4083.769043,57813.913086,14834.826172,7715.703125
14,8h,0.015049,9.630770,66.449594,6.774568,1.000000,1.000000,4,37,12,32.432432,1253246.475439,317239.800879,80118.720703,104437.206287,26436.650073,6676.560059,115602.240527,29610.781055,18281.250000
14,12h,0.015107,9.616204,66.193461,6.773999,1.000000,1.000000,4,36,9,25.000000,1385386.798364,349284.246729,61852.214355,153931.866485,38809.360748,6872.468262,173390.567969,44386.735938,23148.154297
14,24h,0.015085,9.603990,66.293033,6.653289,1.000000,1.000000,4,34,9,26.470588,2749413.700708,693244.801416,112451.096191,305490.411190,77027.200157,12494.566243,346755.550293,88714.600586,46297.353516
15,15m,0.014428,9.893577,69.308938,7.091597,1.000000,1.000000,4,40,13,32.500000,47237.518164,12712.236328,3833.994141,3633.655243,977.864333,294.922626,3665.053711,1030.107422,587.246094
15,30m,0.015000,9.496923,66.668696,7.065628,1.000000,1.000000,4,40,12,30.000000,86935.309302,22767.218604,5837.451172,7244.609108,1897.268217,486.454264,7270.107422,1940.214844,1175.537109
15,1h,0.015297,9.273876,65.374132,7.021992,1.000000,1.000000,4,40,11,27.500000,159002.453906,40870.707812,8910.058594,14454.768537,3715.518892,810.005327,14480.214844,3760.429687,1691.894531
15,2h,0.015362,9.284082,65.096770,7.023650,1.000000,1.000000,4,40,11,27.500000,317540.148438,80781.796875,20793.945312,28867.286222,7343.799716,1890.358665,28921.956543,7447.413086,4702.148438
15,4h,0.015237,9.439411,65.627799,7.115207,1.000000,1.000000,4,40,15,37.500000,865816.271484,219716.542969,75896.484375,57721.084766,14647.769531,5059.765625,57813.913086,14834.826172,9404.296875
15,8h,0.015049,9.630703,66.448149,7.150417,1.000000,1.000000,4,39,12,30.769231,1333357.766016,337470.432031,84065.197754,111113.147168,28122.536003,7005.433146,115602.240527,29610.781055,18808.593750
