data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
1000,1GBps,case1_real,2,0.017702,7.234057,56.490242,0.512695,0.882299,0.803832,2,236.515673,27.333890,1888.071678,240.288104,835
1000,1GBps,case1_real,3,0.022810,7.219354,43.840928,2.028049,0.971774,0.945565,2,150.409550,93.516121,750.130393,246.046735,834
1000,1GBps,case1_real,4,0.018180,7.224079,55.006253,0.825195,0.677404,0.806731,2,177.878389,18.319871,1384.674570,228.637406,835
1000,1GBps,case1_real,5,0.020657,7.212790,48.409802,4.655991,0.900128,0.728426,2,162.851064,46.325952,1037.389597,126.756955,834
1000,1GBps,case1_real,6,0.018424,7.223577,54.276370,0.893312,0.930769,0.871154,3,174.494276,24.414848,1357.685200,315.884747,837
1000,1GBps,case1_real,7,0.022819,7.214794,43.823055,2.091793,0.980874,0.965847,3,123.337338,63.856402,641.486299,134.986710,836
1000,1GBps,case1_real,8,0.022835,7.198618,43.793030,6.239967,0.970833,0.966667,3,130.721841,74.455643,671.736509,180.391201,832
1000,1GBps,case1_real,9,0.020647,7.218616,48.433252,4.720161,0.932671,0.822369,3,145.427143,23.073967,966.181867,210.452163,838
1000,1GBps,case1_real,10,0.020665,7.216688,48.390959,5.046859,0.816752,0.852284,3,134.529550,16.312081,923.309727,271.989730,835
1000,1GBps,case1_real,11,0.022827,7.210768,43.807276,2.412065,0.854167,0.983025,3,99.858333,37.957334,547.747689,61.969237,835
1000,1GBps,case1_real,12,0.020970,7.216206,47.687180,5.113342,0.971939,0.889213,4,131.224308,15.466838,897.451404,310.982696,838
1000,1GBps,case1_real,13,0.023205,7.210298,43.094857,2.473311,1.000000,0.987269,4,96.635224,34.422497,522.623989,90.648067,839
1000,1GBps,case1_real,14,0.022841,7.195789,43.781859,6.304137,0.977564,0.977564,4,113.670885,52.912122,603.175731,95.422596,834
1000,1GBps,case1_real,15,0.022844,7.193893,43.774373,6.620141,0.890625,1.000000,4,102.444536,42.845634,558.270336,83.872367,834
1000,1GBps,case1_real,16,0.023222,7.193414,43.061912,6.682615,1.000000,1.000000,5,99.342055,39.916770,534.083190,107.687595,836
1000,1GBps,case2_homo,1,0.017615,7.244168,56.770227,0.449219,1.000000,1.000000,1,296.631332,29.975698,2373.050657,239.805580,833
1000,1GBps,case2_homo,2,0.017640,7.234057,56.690919,0.512695,1.000000,1.000000,2,236.515673,27.333890,1892.125383,218.671117,835
1000,1GBps,case2_homo,3,0.017675,7.219354,56.575704,2.028049,1.000000,1.000000,2,150.409550,93.516121,1203.276403,748.128970,834
1000,1GBps,case2_homo,4,0.017664,7.224079,56.612658,0.825195,1.000000,1.000000,2,177.878389,18.319871,1423.027115,146.558970,835
1000,1GBps,case2_homo,5,0.017681,7.212790,56.557754,4.655991,1.000000,1.000000,2,162.851064,46.325952,1302.808512,370.607613,834
1000,1GBps,case2_homo,6,0.017665,7.223577,56.608696,0.893312,1.000000,1.000000,3,174.494276,24.414848,1395.954208,195.318781,837
1000,1GBps,case2_homo,7,0.017687,7.214794,56.539958,2.091793,1.000000,1.000000,3,123.337338,63.856402,986.698704,510.851214,836
1000,1GBps,case2_homo,8,0.017705,7.198618,56.479908,6.239967,1.000000,1.000000,3,130.721841,74.455643,1045.774730,595.645140,832
1000,1GBps,case2_homo,9,0.017677,7.218616,56.569985,4.720161,1.000000,1.000000,3,145.427143,23.073967,1163.417141,184.591740,838
1000,1GBps,case2_homo,10,0.017682,7.216688,56.554738,5.046859,1.000000,1.000000,3,134.529550,16.312081,1076.236397,130.496644,835
1000,1GBps,case2_homo,11,0.017696,7.210768,56.508398,2.412065,1.000000,1.000000,3,99.858333,37.957334,798.866664,303.658676,835
1000,1GBps,case2_homo,12,0.017683,7.216206,56.550952,5.113342,1.000000,1.000000,4,131.224308,15.466838,1049.794466,123.734705,838
1000,1GBps,case2_homo,13,0.017698,7.210298,56.504708,2.473311,1.000000,1.000000,4,96.635224,34.422497,773.081792,275.379976,839
1000,1GBps,case2_homo,14,0.017712,7.195789,56.457566,6.304137,1.000000,1.000000,4,113.670885,52.912122,909.367080,423.296977,834
1000,1GBps,case2_homo,15,0.017717,7.193893,56.442593,6.620141,1.000000,1.000000,4,102.444536,42.845634,819.556290,342.765073,834
1000,1GBps,case2_homo,16,0.017718,7.193414,56.438770,6.682615,1.000000,1.000000,5,99.342055,39.916770,794.736439,319.334160,836
1000,1GBps,case3_hetero,1,0.002202,7.244168,454.161816,0.449219,0.264040,0.297781,1,296.631332,29.975698,18984.405252,1918.444644,833
1000,1GBps,case3_hetero,2,0.002220,7.234057,450.517196,0.512695,0.632755,0.649521,2,236.515673,27.333890,15076.197485,2106.858379,835
1000,1GBps,case3_hetero,3,0.004816,7.219354,207.644681,2.028049,0.784274,0.812248,2,150.409550,93.516121,7287.459210,8065.509281,834
1000,1GBps,case3_hetero,4,0.002332,7.224079,428.805194,0.825195,0.638221,0.640865,2,177.878389,18.319871,10808.928748,2758.819567,835
1000,1GBps,case3_hetero,5,0.005861,7.212790,170.629080,4.655991,0.566964,0.575949,2,162.851064,46.325952,5018.673320,6248.593285,834
1000,1GBps,case3_hetero,6,0.002333,7.223577,428.542923,0.893312,0.758814,0.768910,3,174.494276,24.414848,10764.723486,2865.978889,837
1000,1GBps,case3_hetero,7,0.004894,7.214794,204.348553,2.091793,0.858948,0.877561,3,123.337338,63.856402,5499.699879,6164.073207,836
1000,1GBps,case3_hetero,8,0.006977,7.198618,143.331335,6.239967,0.937500,0.943490,3,130.721841,74.455643,4497.970520,6591.982373,832
1000,1GBps,case3_hetero,9,0.005971,7.218616,167.473368,4.720161,0.717720,0.723329,3,145.427143,23.073967,3859.827135,4523.779555,838
1000,1GBps,case3_hetero,10,0.006838,7.216688,146.232585,5.046859,0.773810,0.765476,3,134.529550,16.312081,2638.435452,2931.641295,835
1000,1GBps,case3_hetero,11,0.005480,7.210768,182.491179,2.412065,0.881173,0.889815,3,99.858333,37.957334,3476.207878,4217.649042,835
1000,1GBps,case3_hetero,12,0.006826,7.216206,146.490652,5.113342,0.830357,0.830357,4,131.224308,15.466838,2622.226853,2937.722244,838
1000,1GBps,case3_hetero,13,0.005472,7.210298,182.749349,2.473311,0.910880,0.923611,4,96.635224,34.422497,3453.599513,4220.523436,839
1000,1GBps,case3_hetero,14,0.007136,7.195789,140.143161,6.304137,0.957933,0.962139,4,113.670885,52.912122,3359.423701,4868.811203,834
1000,1GBps,case3_hetero,15,0.008425,7.193893,118.695294,6.620141,1.000000,0.993750,4,102.444536,42.845634,2124.354563,3242.833548,834
1000,1GBps,case3_hetero,16,0.008444,7.193414,118.433424,6.682615,1.000000,1.000000,5,99.342055,39.916770,2103.300538,3245.933140,836
10000,10GBps,case1_real,1,0.017616,7.243746,56.766924,0.449219,0.762681,0.606884,1,294.152929,29.725322,2353.223433,237.802575,833
10000,10GBps,case1_real,2,0.017703,7.233579,56.486746,0.512695,0.882299,0.803832,2,233.701867,29.005089,1867.140102,247.343898,835
10000,10GBps,case1_real,3,0.022815,7.217467,43.830660,2.028049,0.971774,0.945565,2,139.325128,89.758323,688.566996,245.313358,834
10000,10GBps,case1_real,4,0.018181,7.223321,55.001868,0.825195,0.677404,0.806731,2,173.385444,21.487698,1358.414762,255.751305,835
10000,10GBps,case1_real,5,0.020668,7.208475,48.385138,4.655991,0.900128,0.728426,2,137.428991,31.856666,889.523132,135.029940,834
10000,10GBps,case1_real,6,0.018426,7.222753,54.272539,0.893312,0.930769,0.871154,3,169.642976,32.043340,1334.800778,333.328929,837
10000,10GBps,case1_real,7,0.022825,7.212849,43.812557,2.091793,0.980874,0.965847,3,111.936605,60.154974,578.698869,134.553248,836
10000,10GBps,case1_real,8,0.022848,7.192814,43.767405,6.239967,0.970833,0.966667,3,96.538530,55.777320,517.736151,161.053695,832
10000,10GBps,case1_real,9,0.020658,7.214239,48.408344,4.720161,0.932671,0.822369,3,119.771831,13.587471,817.563294,230.334880,838
10000,10GBps,case1_real,10,0.020676,7.212008,48.364895,5.046859,0.816752,0.852284,3,107.031398,25.324206,767.233967,308.645206,835
10000,10GBps,case1_real,11,0.022833,7.208528,43.795624,2.412065,0.854167,0.983025,3,86.717570,31.338258,477.979559,48.322223,835
10000,10GBps,case1_real,12,0.020981,7.211463,47.661666,5.113342,0.971939,0.889213,4,103.466106,26.867083,745.220081,336.960981,838
10000,10GBps,case1_real,13,0.023211,7.208005,43.083787,2.473311,1.000000,0.987269,4,83.229673,30.258532,456.650957,93.030959,839
10000,10GBps,case1_real,14,0.022854,7.189926,43.756002,6.304137,0.977564,0.977564,4,79.223204,29.099024,448.159300,89.512598,834
10000,10GBps,case1_real,15,0.022859,7.187729,43.747351,6.620141,0.890625,1.000000,4,66.251648,16.036021,396.273077,110.531057,834
10000,10GBps,case1_real,16,0.023237,7.187196,43.035467,6.682615,1.000000,1.000000,5,62.900713,7.256239,375.922673,122.205662,836
10000,10GBps,case2_homo,1,0.017616,7.243746,56.766924,0.449219,1.000000,1.000000,1,294.152929,29.725322,2353.223433,237.802575,833
10000,10GBps,case2_homo,2,0.017641,7.233579,56.687160,0.512695,1.000000,1.000000,2,233.701867,29.005089,1869.614933,232.040715,835
10000,10GBps,case2_homo,3,0.017680,7.217467,56.560913,2.028049,1.000000,1.000000,2,139.325128,89.758323,1114.601022,718.066583,834
10000,10GBps,case2_homo,4,0.017666,7.223321,56.606656,0.825195,1.000000,1.000000,2,173.385444,21.487698,1387.083550,171.901585,835
10000,10GBps,case2_homo,5,0.017692,7.208475,56.523831,4.655991,1.000000,1.000000,2,137.428991,31.856666,1099.431930,254.853329,834
10000,10GBps,case2_homo,6,0.017667,7.222753,56.602199,0.893312,1.000000,1.000000,3,169.642976,32.043340,1357.143808,256.346724,837
10000,10GBps,case2_homo,7,0.017691,7.212849,56.524708,2.091793,1.000000,1.000000,3,111.936605,60.154974,895.492837,481.239791,836
10000,10GBps,case2_homo,8,0.017720,7.192814,56.434403,6.239967,1.000000,1.000000,3,96.538530,55.777320,772.308242,446.218563,832
10000,10GBps,case2_homo,9,0.017688,7.214239,56.535586,4.720161,1.000000,1.000000,3,119.771831,13.587471,958.174650,108.699768,838
10000,10GBps,case2_homo,10,0.017693,7.212008,56.518001,5.046859,1.000000,1.000000,3,107.031398,25.324206,856.251185,202.593651,835
10000,10GBps,case2_homo,11,0.017702,7.208528,56.490842,2.412065,1.000000,1.000000,3,86.717570,31.338258,693.740559,250.706065,835
10000,10GBps,case2_homo,12,0.017695,7.211463,56.513734,5.113342,1.000000,1.000000,4,103.466106,26.867083,827.728850,214.936664,838
10000,10GBps,case2_homo,13,0.017703,7.208005,56.486713,2.473311,1.000000,1.000000,4,83.229673,30.258532,665.837381,242.068259,839
10000,10GBps,case2_homo,14,0.017727,7.189926,56.411599,6.304137,1.000000,1.000000,4,79.223204,29.099024,633.785629,232.792190,834
10000,10GBps,case2_homo,15,0.017732,7.187729,56.394297,6.620141,1.000000,1.000000,4,66.251648,16.036021,530.013183,128.288165,834
10000,10GBps,case2_homo,16,0.017734,7.187196,56.390026,6.682615,1.000000,1.000000,5,62.900713,7.256239,503.205701,58.049913,836
10000,10GBps,case3_hetero,1,0.002202,7.243746,454.135391,0.449219,0.264040,0.297781,1,294.152929,29.725322,18825.787464,1902.420600,833
10000,10GBps,case3_hetero,2,0.002220,7.233579,450.491077,0.512695,0.632755,0.649521,2,233.701867,29.005089,14919.796994,2095.932530,835
10000,10GBps,case3_hetero,3,0.004818,7.217467,207.571606,2.028049,0.784274,0.812248,2,139.325128,89.758323,6849.361029,7584.781202,834
10000,10GBps,case3_hetero,4,0.002332,7.223321,428.781431,0.825195,0.638221,0.640865,2,173.385444,21.487698,10666.636587,2758.793725,835
10000,10GBps,case3_hetero,5,0.005866,7.208475,170.465530,4.655991,0.566964,0.575949,2,137.428991,31.856666,4038.155102,4897.463572,834
10000,10GBps,case3_hetero,6,0.002334,7.222753,428.518927,0.893312,0.758814,0.768910,3,169.642976,32.043340,10621.375574,2869.706195,837
10000,10GBps,case3_hetero,7,0.004895,7.212849,204.275765,2.091793,0.858948,0.877561,3,111.936605,60.154974,5064.363529,5681.328841,836
10000,10GBps,case3_hetero,8,0.006985,7.192814,143.161231,6.239967,0.937500,0.943490,3,96.538530,55.777320,3475.711715,5248.734428,832
10000,10GBps,case3_hetero,9,0.005977,7.214239,167.310062,4.720161,0.717720,0.723329,3,119.771831,13.587471,2885.448107,3154.323566,838
10000,10GBps,case3_hetero,10,0.006846,7.212008,146.071209,5.046859,0.773810,0.765476,3,107.031398,25.324206,1672.111809,1399.102466,835
10000,10GBps,case3_hetero,11,0.005482,7.208528,182.420766,2.412065,0.881173,0.889815,3,86.717570,31.338258,3054.572884,3715.593002,835
10000,10GBps,case3_hetero,12,0.006834,7.211463,146.328676,5.113342,0.830357,0.830357,4,103.466106,26.867083,1655.783544,1410.754652,838
10000,10GBps,case3_hetero,13,0.005474,7.208005,182.678616,2.473311,0.910880,0.923611,4,83.229673,30.258532,3032.069129,3720.281539,839
10000,10GBps,case3_hetero,14,0.007144,7.189926,139.973315,6.304137,0.957933,0.962139,4,79.223204,29.099024,2341.161795,3504.613022,834
