Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
7,6h,0.015283,9.459800,65.432205,4.974955,1.000000,1.000000,3
7,12h,0.014986,9.715915,66.729834,5.156049,1.000000,1.000000,3
7,18h,0.015086,9.611874,66.287750,5.025437,1.000000,1.000000,3
7,24h,0.014970,9.743365,66.801475,5.062762,1.000000,1.000000,3
8,1h,0.015185,9.340726,65.855545,2.193987,1.000000,1.000000,3
8,6h,0.015273,9.455013,65.475673,2.213273,1.000000,1.000000,3
8,12h,0.015236,9.512423,65.632751,2.225734,1.000000,1.000000,3
8,18h,0.015285,9.487432,65.421948,2.183752,1.000000,1.000000,3
8,24h,0.015101,9.624457,66.219234,2.175504,1.000000,1.000000,3
9,1h,0.015161,9.357598,65.956674,5.350501,1.000000,1.000000,3
9,6h,0.015259,9.464979,65.534929,5.355364,1.000000,1.000000,3
9,12h,0.015125,9.605032,66.114953,5.495378,1.000000,1.000000,3
9,18h,0.015297,9.446988,65.373450,5.255091,1.000000,1.000000,3
9,24h,0.015267,9.502881,65.499218,5.257741,1.000000,1.000000,3
10,1h,0.015275,9.286169,65.464556,2.560155,1.000000,1.000000,3
10,6h,0.015270,9.441873,65.488081,2.625473,1.000000,1.000000,3
10,12h,0.015207,9.544768,65.758792,2.570037,1.000000,1.000000,3
10,18h,0.015231,9.480072,65.654437,2.574034,1.000000,1.000000,3
10,24h,0.015322,9.472222,65.266659,2.486225,1.000000,1.000000,3
11,1h,0.015174,9.349391,65.901100,6.614602,1.000000,1.000000,3
11,6h,0.015178,9.501086,65.885507,6.615215,1.000000,1.000000,3
11,12h,0.015118,9.602199,66.144981,6.698516,1.000000,1.000000,3
11,18h,0.015043,9.646456,66.475241,6.654156,1.000000,1.000000,3
11,24h,0.015149,9.532861,66.010781,6.537814,1.000000,1.000000,3
12,1h,0.015197,9.336545,65.803882,5.416465,1.000000,1.000000,4
12,6h,0.015289,9.433261,65.405795,5.404484,1.000000,1.000000,4
12,12h,0.015122,9.608448,66.129477,5.567305,1.000000,1.000000,4
12,18h,0.015223,9.525742,65.691007,5.379376,1.000000,1.000000,4
12,24h,0.015104,9.593152,66.209424,5.416271,1.000000,1.000000,4
13,1h,0.015304,9.269450,65.344012,2.621046,1.000000,1.000000,4
13,6h,0.015230,9.463058,65.659000,2.698211,1.000000,1.000000,4
13,12h,0.015232,9.518169,65.651673,2.638769,1.000000,1.000000,4
13,18h,0.015156,9.561090,65.979848,2.643167,1.000000,1.000000,4
13,24h,0.015091,9.634614,66.265303,2.591505,1.000000,1.000000,4
14,1h,0.015254,9.300868,65.558692,6.677362,1.000000,1.000000,4
14,6h,0.015217,9.463575,65.716820,6.710446,1.000000,1.000000,4
14,12h,0.015107,9.616204,66.193461,6.773999,1.000000,1.000000,4
14,18h,0.015101,9.584256,66.221781,6.693880,1.000000,1.000000,4
14,24h,0.015085,9.603990,66.293033,6.653289,1.000000,1.000000,4
15,1h,0.015297,9.273876,65.374132,7.021992,1.000000,1.000000,4
15,6h,0.015201,9.503754,65.784364,7.010585,1.000000,1.000000,4
15,12h,0.015097,9.627145,66.238291,7.110683,1.000000,1.000000,4
15,18h,0.015020,9.670917,66.575885,7.066642,1.000000,1.000000,4
15,24h,0.015162,9.517653,65.955389,6.985317,1.000000,1.000000,4
16,1h,0.015340,9.248402,65.188387,7.067478,1.000000,1.000000,5
16,6h,0.015136,9.531046,66.068858,7.170466,1.000000,1.000000,5
16,12h,0.015168,9.549903,65.928743,7.151897,1.000000,1.000000,5
16,18h,0.015112,9.570173,66.173765,7.133803,1.000000,1.000000,5
16,24h,0.015245,9.427390,65.594956,7.010954,1.000000,1.000000,5
