Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
14,18h,0.019378,9.584256,51.605841,6.693880,0.977564,0.977564,4
14,24h,0.019285,9.603990,51.853704,6.653289,0.977564,0.977564,4
15,1h,0.019752,9.273876,50.627975,7.021992,0.890625,1.000000,4
15,6h,0.019579,9.503754,51.073955,7.010585,0.890625,1.000000,4
15,12h,0.019486,9.627145,51.319126,7.110683,0.890625,1.000000,4
15,18h,0.019311,9.670917,51.782894,7.066642,0.890625,1.000000,4
15,24h,0.019348,9.517653,51.684881,6.985317,0.890625,1.000000,4
16,1h,0.020115,9.248402,49.714997,7.067478,1.000000,1.000000,5
16,6h,0.019855,9.531046,50.364472,7.170466,1.000000,1.000000,5
16,12h,0.019862,9.549903,50.347332,7.151897,1.000000,1.000000,5
16,18h,0.019710,9.570173,50.734515,7.133803,1.000000,1.000000,5
16,24h,0.019720,9.427390,50.710465,7.010954,1.000000,1.000000,5
