Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
6,25.000000,51159,12693,38466,24.818702,0.013526,10.961021,73.930198,0.958092,0.930769,0.871154,3
7,0.000000,38415,0,38415,0.000000,0.021096,7.788532,47.402354,2.075195,0.980874,0.965847,3
7,1.000000,38804,387,38417,0.997320,0.020990,7.867048,47.641493,2.079274,0.980874,0.965847,3
7,5.000000,40384,1966,38418,4.868265,0.020570,8.187483,48.613360,2.096596,0.980874,0.965847,3
7,10.000000,42587,4169,38418,9.791720,0.020006,8.633311,49.985081,2.120235,0.980874,0.965847,3
7,25.000000,51097,12674,38423,24.805762,0.018106,10.358001,55.231559,2.213933,0.980874,0.965847,3
8,0.000000,38412,0,38412,0.000000,0.021274,7.689546,47.006410,6.191406,0.970833,0.966667,3
8,1.000000,38801,387,38414,0.997397,0.021167,7.767025,47.243524,6.205777,0.970833,0.966667,3
8,5.000000,40382,1967,38415,4.873458,0.020744,8.083705,48.207040,6.265764,0.970833,0.966667,3
8,10.000000,42590,4173,38417,9.798075,0.020173,8.524469,49.571845,6.344638,0.970833,0.966667,3
8,25.000000,51079,12659,38420,24.787095,0.018259,10.222591,54.767728,6.659844,0.970833,0.966667,3
9,0.000000,38447,0,38447,0.000000,0.018597,7.866316,53.771865,4.692383,0.932671,0.822369,3
9,1.000000,38840,389,38451,1.001545,0.018503,7.945988,54.044427,4.703209,0.932671,0.822369,3
9,5.000000,40424,1973,38451,4.883238,0.018132,8.270224,55.150864,4.748032,0.932671,0.822369,3
9,10.000000,42662,4210,38452,9.870611,0.017629,8.727835,56.724168,4.808422,0.932671,0.822369,3
9,25.000000,51151,12693,38458,24.822584,0.015958,10.463644,62.666367,5.043805,0.932671,0.822369,3
10,0.000000,38443,0,38443,0.000000,0.018737,7.765917,53.370269,5.004883,0.816752,0.852284,3
10,1.000000,38837,390,38447,1.004197,0.018642,7.844778,53.641617,5.017314,0.816752,0.852284,3
10,5.000000,40421,1973,38448,4.883600,0.018268,8.164634,54.740565,5.068433,0.816752,0.852284,3
10,10.000000,42653,4203,38450,9.856282,0.017765,8.615211,56.289621,5.139246,0.816752,0.852284,3
10,25.000000,51130,12678,38452,24.803442,0.016084,10.327844,62.173870,5.411413,0.816752,0.852284,3
11,0.000000,38426,0,38426,0.000000,0.021452,7.591857,46.615654,2.387695,0.854167,0.983025,3
11,1.000000,38813,387,38426,0.997089,0.021344,7.668311,46.850622,2.393426,0.854167,0.983025,3
11,5.000000,40391,1962,38429,4.857518,0.020919,7.979635,47.804338,2.416929,0.854167,0.983025,3
11,10.000000,42609,4178,38431,9.805440,0.020341,8.417106,49.160615,2.449779,0.854167,0.983025,3
11,25.000000,51123,12687,38436,24.828355,0.018410,10.099140,54.319216,2.578283,0.854167,0.983025,3
12,0.000000,38443,0,38443,0.000000,0.019044,7.739876,52.510635,5.068359,0.971939,0.889213,4
12,1.000000,38833,387,38446,0.996575,0.018948,7.817849,52.776208,5.080901,0.971939,0.889213,4
12,5.000000,40413,1964,38449,4.862297,0.018568,8.135567,53.857095,5.132721,0.971939,0.889213,4
12,10.000000,42659,4204,38455,9.864272,0.018056,8.586824,55.384174,5.206183,0.971939,0.889213,4
12,25.000000,51129,12671,38458,24.790236,0.016345,10.291319,61.180660,5.482887,0.971939,0.889213,4
13,0.000000,38426,0,38426,0.000000,0.021855,7.565816,45.756020,2.451172,1.000000,0.987269,4
13,1.000000,38817,387,38430,0.996986,0.021745,7.642071,45.986753,2.457174,1.000000,0.987269,4
13,5.000000,40398,1965,38433,4.864102,0.021311,7.952838,46.924717,2.481845,1.000000,0.987269,4
13,10.000000,42612,4178,38434,9.807097,0.020724,8.388318,48.253807,2.516948,1.000000,0.987269,4
13,25.000000,51090,12651,38439,24.775886,0.018757,10.057573,53.313920,2.647993,1.000000,0.987269,4
14,0.000000,38424,0,38424,0.000000,0.021522,7.553789,46.463381,6.254883,0.977564,0.977564,4
14,1.000000,38819,390,38429,1.004663,0.021414,7.630550,46.699131,6.269849,0.977564,0.977564,4
14,5.000000,40394,1964,38430,4.867059,0.020987,7.940213,47.648567,6.330352,0.977564,0.977564,4
14,10.000000,42605,4172,38433,9.796972,0.020408,8.373861,48.999859,6.411112,0.977564,0.977564,4
14,25.000000,51092,12650,38442,24.778830,0.018473,10.040851,54.134242,6.732774,0.977564,0.977564,4
15,0.000000,38420,0,38420,0.000000,0.021710,7.453390,46.061785,6.567383,0.890625,1.000000,4
15,1.000000,38812,390,38422,1.004844,0.021600,7.529075,46.295264,6.583958,0.890625,1.000000,4
15,5.000000,40389,1964,38425,4.865186,0.021170,7.834421,47.236209,6.651196,0.890625,1.000000,4
15,10.000000,42609,4181,38428,9.812481,0.020585,8.264435,48.579896,6.742200,0.890625,1.000000,4
