Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
4,4h,0.017724,9.511281,56.422062,4.985263,0.900128,0.728426,2,20,7,35.000000,308982.311523,102413.623047,15046.875000,44140.330218,14630.517578,2149.553571,51211.899805,14762.812500,7523.437500
4,8h,0.017603,9.625703,56.809554,5.002925,0.900128,0.728426,2,20,9,45.000000,723237.300293,262583.100586,60187.500000,80359.700033,29175.900065,6687.500000,102381.210059,29345.625000,15046.875000
4,12h,0.017589,9.717971,56.853062,5.080312,0.900128,0.728426,2,20,8,40.000000,1005365.257812,349298.515625,67710.937500,125670.657227,43662.314453,8463.867188,153550.520312,43928.437500,22570.312500
4,24h,0.017488,9.692686,57.182437,4.963315,0.900128,0.728426,2,20,7,35.000000,1851842.078125,609780.156250,90281.250000,264548.868304,87111.450893,12897.321429,307041.040625,87676.875000,45140.625000
5,15m,0.017865,10.614485,55.974106,2.136588,0.971774,0.945565,2,20,7,35.000000,21727.177734,7078.355469,226.562500,3103.882533,1011.193638,32.366071,3618.121875,1142.568359,113.281250
5,30m,0.018983,9.838579,52.677940,2.130985,0.971774,0.945565,2,20,7,35.000000,43140.375000,13395.750000,453.125000,6162.910714,1913.678571,64.732143,7221.447656,2045.136719,226.562500
5,1h,0.019571,9.408705,51.095626,2.122977,0.971774,0.945565,2,20,8,40.000000,92897.474707,29890.149414,1360.546875,11612.184338,3736.268677,170.068359,14428.099219,3853.385742,453.515625
5,2h,0.019801,9.265983,50.501289,2.100290,0.971774,0.945565,2,20,6,30.000000,157848.977930,43826.755859,907.031250,26308.162988,7304.459310,151.171875,28826.198437,7466.771484,907.031250
5,4h,0.019660,9.421493,50.865935,2.123466,0.971774,0.945565,2,20,8,40.000000,370153.486816,116528.973633,5443.359375,46269.185852,14566.121704,680.419922,57637.600781,14696.655273,1814.453125
5,8h,0.019490,9.565397,51.308865,2.138186,0.971774,0.945565,2,20,8,40.000000,739796.973633,232037.947266,10886.718750,92474.621704,29004.743408,1360.839844,115245.201562,29153.310547,3628.906250
5,12h,0.019695,9.517364,50.773765,2.131314,0.971774,0.945565,2,20,6,30.000000,946065.514160,260346.028320,5443.359375,157677.585693,43391.004720,907.226562,172868.006250,43609.965820,5443.359375
5,24h,0.019307,9.525971,51.795672,2.108689,0.971774,0.945565,2,20,7,35.000000,2055191.994141,607131.988281,21773.437500,293598.856306,86733.141183,3110.491071,345706.012500,86979.931641,10886.718750
6,15m,0.013596,10.912120,73.553492,0.961011,0.930769,0.871154,3,30,12,40.000000,25719.254443,12195.808887,3823.081055,2143.271204,1016.317407,318.590088,2933.059424,1077.518848,571.289062
6,30m,0.014822,10.010469,67.465770,0.963124,0.930769,0.871154,3,30,12,40.000000,48976.323633,23067.547266,7470.219727,4081.360303,1922.295605,622.518311,5776.118848,1975.037695,1142.578125
6,1h,0.015611,9.471228,64.057631,0.948417,0.930769,0.871154,3,29,8,27.586207,71975.262817,30005.525635,6152.075195,8996.907852,3750.690704,769.009399,11482.839575,3776.579150,2285.156250
6,2h,0.015865,9.369456,63.032336,0.947270,0.930769,0.871154,3,29,10,34.482759,164383.452393,65974.704785,17308.872070,16438.345239,6597.470479,1730.887207,22896.281030,7379.662061,4570.312500
6,4h,0.015980,9.393812,62.577030,0.943520,0.930769,0.871154,3,26,5,19.230769,228615.819702,72929.139404,0.000000,45723.163940,14585.827881,0.000000,45723.163940,14585.827881,0.000000
6,8h,0.015815,9.545163,63.229457,0.940653,0.930769,0.871154,3,23,8,34.782609,517055.854980,204584.709961,31640.234375,64631.981873,25573.088745,3955.029297,91356.327881,29221.354004,15468.615723
6,12h,0.015701,9.618713,63.689446,0.932998,0.930769,0.871154,3,23,8,34.782609,795410.605762,294707.311523,44326.557617,99426.325720,36838.413940,5540.819702,137010.093701,43802.208203,23203.017578
6,24h,0.015825,9.609551,63.189307,0.930081,0.930769,0.871154,3,20,6,30.000000,1456623.297412,520684.644824,46406.223145,242770.549569,86780.774137,7734.370524,273930.187402,87544.770801,46406.223145
7,15m,0.016024,10.427191,62.405245,5.029699,0.932671,0.822369,3,30,9,30.000000,23174.292920,9167.635840,2016.416016,2574.921436,1018.626204,224.046224,3246.112207,1030.610059,571.289062
