Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
13,1h,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
13,6h,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
13,12h,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
13,18h,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
13,24h,0.023753,6.900000,42.100000,2.451172,1.000000,0.987269,4
14,1h,0.023364,6.900000,42.800000,6.254883,0.977564,0.977564,4
14,6h,0.023364,6.900000,42.800000,6.254883,0.977564,0.977564,4
14,12h,0.023364,6.900000,42.800000,6.254883,0.977564,0.977564,4
14,18h,0.023364,6.900000,42.800000,6.254883,0.977564,0.977564,4
14,24h,0.023364,6.900000,42.800000,6.254883,0.977564,0.977564,4
15,1h,0.023364,6.900000,42.800000,6.567383,0.890625,1.000000,4
15,6h,0.023364,6.900000,42.800000,6.567383,0.890625,1.000000,4
15,12h,0.023364,6.900000,42.800000,6.567383,0.890625,1.000000,4
15,18h,0.023364,6.900000,42.800000,6.567383,0.890625,1.000000,4
15,24h,0.023364,6.900000,42.800000,6.567383,0.890625,1.000000,4
16,1h,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
16,6h,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
16,12h,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
16,18h,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
16,24h,0.023753,6.900000,42.100000,6.630859,1.000000,1.000000,5
