Composition,Failure_Rate_%,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Failure_Rate_Actual_%,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups
14,1.000000,27108,266,26842,0.981260,0.006231,40.318687,160.483030,2.809745,1.000000,1.000000,4
14,5.000000,28219,1377,26842,4.879691,0.006105,41.971481,163.788619,2.835023,1.000000,1.000000,4
14,10.000000,29790,2946,26844,9.892581,0.005936,44.305923,168.457454,2.873952,1.000000,1.000000,4
14,25.000000,35762,8912,26850,24.931492,0.005370,53.183555,186.212862,3.019983,1.000000,1.000000,4
15,0.000000,26839,0,26839,0.000000,0.006262,39.922756,159.691025,2.803633,1.000000,1.000000,4
15,1.000000,27108,266,26842,0.981260,0.006231,40.318687,160.483030,2.809745,1.000000,1.000000,4
15,5.000000,28219,1377,26842,4.879691,0.006105,41.971481,163.788619,2.835023,1.000000,1.000000,4
15,10.000000,29790,2946,26844,9.892581,0.005936,44.305923,168.457454,2.873952,1.000000,1.000000,4
15,25.000000,35762,8912,26850,24.931492,0.005370,53.183555,186.212862,3.019983,1.000000,1.000000,4
16,0.000000,26933,0,26933,0.000000,0.006313,39.598150,158.392599,2.109375,1.000000,1.000000,4
16,1.000000,27202,266,26936,0.977869,0.006282,39.989332,159.175060,2.113183,1.000000,1.000000,4
16,5.000000,28318,1379,26939,4.869694,0.006156,41.625969,162.448430,2.136466,1.000000,1.000000,4
16,10.000000,29898,2954,26944,9.893638,0.005985,43.944854,167.086272,2.169196,1.000000,1.000000,4
16,25.000000,35856,8911,26945,24.857764,0.005417,52.701643,184.599922,2.300691,1.000000,1.000000,4
17,0.000000,26933,0,26933,0.000000,0.006313,39.598150,158.392599,2.109375,1.000000,1.000000,4
17,1.000000,27202,266,26936,0.977869,0.006282,39.989332,159.175060,2.113183,1.000000,1.000000,4
17,5.000000,28318,1379,26939,4.869694,0.006156,41.625969,162.448430,2.136466,1.000000,1.000000,4
17,10.000000,29898,2954,26944,9.893638,0.005985,43.944854,167.086272,2.169196,1.000000,1.000000,4
17,25.000000,35856,8911,26945,24.857764,0.005417,52.701643,184.599922,2.300691,1.000000,1.000000,4
18,0.000000,26914,0,26914,0.000000,0.006310,39.620416,158.481665,2.803633,1.000000,1.000000,4
18,1.000000,27182,266,26916,0.978589,0.006279,40.012208,159.265321,2.809476,1.000000,1.000000,4
18,5.000000,28299,1379,26920,4.872964,0.006152,41.650804,162.542657,2.837003,1.000000,1.000000,4
18,10.000000,29870,2948,26922,9.876130,0.005982,43.962485,167.166020,2.875443,1.000000,1.000000,4
18,25.000000,35847,8922,26925,24.889112,0.005413,52.755551,184.752366,3.013618,1.000000,1.000000,4
19,0.000000,26914,0,26914,0.000000,0.006310,39.620416,158.481665,2.803633,1.000000,1.000000,4
19,1.000000,27182,266,26916,0.978589,0.006279,40.012208,159.265321,2.809476,1.000000,1.000000,4
19,5.000000,28299,1379,26920,4.872964,0.006152,41.650804,162.542657,2.837003,1.000000,1.000000,4
19,10.000000,29870,2948,26922,9.876130,0.005982,43.962485,167.166020,2.875443,1.000000,1.000000,4
19,25.000000,35847,8922,26925,24.889112,0.005413,52.755551,184.752366,3.013618,1.000000,1.000000,4
20,0.000000,26896,0,26896,0.000000,0.006349,39.374668,157.498673,3.916016,1.000000,1.000000,4
20,1.000000,27167,267,26900,0.982810,0.006318,39.765672,158.280872,3.923034,1.000000,1.000000,4
20,5.000000,28266,1365,26901,4.829123,0.006192,41.369806,161.489116,3.963603,1.000000,1.000000,4
20,10.000000,29841,2939,26902,9.848866,0.006020,43.677637,166.104898,4.015491,1.000000,1.000000,4
20,25.000000,35830,8922,26908,24.912085,0.005446,52.440438,183.630596,4.218919,1.000000,1.000000,4
21,0.000000,26836,0,26836,0.000000,0.006387,39.144581,156.578324,5.000898,1.000000,1.000000,4
21,1.000000,27105,266,26839,0.981369,0.006355,39.532747,157.354848,5.011165,1.000000,1.000000,4
21,5.000000,28176,1337,26839,4.745173,0.006231,41.095301,160.479932,5.057242,1.000000,1.000000,4
21,10.000000,29771,2930,26841,9.841792,0.006056,43.418446,165.126367,5.126469,1.000000,1.000000,4
21,25.000000,35623,8775,26848,24.649805,0.005489,51.947053,182.183652,5.371301,1.000000,1.000000,4
