Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
3,30m,0.001876,10.028458,533.000062,0.887124,0.638221,0.640865,2,5086,1237,3849,1237,32.138218,90812.916504,15695.833008,2537.841797,11351.614563,1961.979126,317.230225,15960.518848,1975.037695,845.947266
3,1h,0.001977,9.490090,505.755321,0.890555,0.638221,0.640865,2,2516,594,1922,594,30.905307,174003.127563,26403.755127,3383.789062,24857.589652,3771.965018,483.398438,31888.539575,3776.579150,1691.894531
3,2h,0.002013,9.366991,496.816025,0.885200,0.638221,0.640865,2,1274,311,963,311,32.294912,362224.194214,59100.888428,10151.367188,45278.024277,7387.611053,1268.920898,63744.581030,7400.859375,3383.789062
3,4h,0.002022,9.390106,494.676674,0.863609,0.638221,0.640865,2,646,164,482,164,34.024896,637283.319702,72929.139404,0.000000,127456.663940,14585.827881,0.000000,127456.663940,14585.827881,0.000000
3,8h,0.001994,9.582479,501.401270,0.875794,0.638221,0.640865,2,333,90,243,90,37.037037,1447581.795654,232688.591309,40605.468750,180947.724457,29086.073914,5075.683594,254823.327881,29243.437500,13535.156250
3,12h,0.001988,9.619744,503.096315,0.861740,0.638221,0.640865,2,223,61,162,61,37.654321,1997940.046631,260825.093262,20302.734375,332990.007772,43470.848877,3383.789062,382247.493701,43805.156250,20302.734375
3,24h,0.002003,9.609222,499.303695,0.860803,0.638221,0.640865,2,115,31,84,31,36.904762,3995370.093262,520630.186523,40605.468750,665895.015544,86771.697754,6767.578125,764404.987402,87490.312500,40605.468750
4,15m,0.003349,10.614485,298.615941,2.136588,0.784274,0.812248,2,10191,2502,7689,2502,32.539992,35352.177734,7078.355469,226.562500,5050.311105,1011.193638,32.366071,16477.784180,1142.568359,113.281250
4,30m,0.003752,9.838579,266.558196,2.130985,0.784274,0.812248,2,5063,1222,3841,1222,31.814632,70323.875000,13395.750000,453.125000,10046.267857,1913.678571,64.732143,32835.568359,2045.136719,226.562500
4,1h,0.004030,9.408705,248.138945,2.122977,0.784274,0.812248,2,2512,592,1920,592,30.833333,205987.624707,29890.149414,1360.546875,25748.453088,3736.268677,170.068359,65607.542871,3853.385742,453.515625
4,2h,0.004223,9.265983,236.824386,2.100290,0.784274,0.812248,2,1262,301,961,301,31.321540,149275.077930,43826.755859,907.031250,24879.179655,7304.459310,151.171875,131095.085742,7466.771484,907.031250
4,4h,0.004200,9.421493,238.093511,2.123466,0.784274,0.812248,2,648,167,481,167,34.719335,822599.236816,116528.973633,5443.359375,102824.904602,14566.121704,680.419922,262126.577637,14696.655273,1814.453125
4,8h,0.004184,9.565397,239.028350,2.138186,0.784274,0.812248,2,331,90,241,90,37.344398,1644688.473633,232037.947266,10886.718750,205586.059204,29004.743408,1360.839844,524133.155273,29153.310547,3628.906250
4,12h,0.004166,9.517364,240.035955,2.131314,0.784274,0.812248,2,221,58,163,58,35.582822,894507.764160,260346.028320,5443.359375,149084.627360,43391.004720,907.226562,786139.732910,43609.965820,5443.359375
