Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Jobs,Total_Job_Retries,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
2,1h,0.001837,9.755206,544.234552,0.522042,0.632755,0.649521,2,12716,3116,9600,3116,24.528154,182406.236572,34043.723145,9140.625000,20267.359619,3782.635905,1015.625000,30676.153564,3838.557129,2285.156250
2,2h,0.001898,9.441464,526.899893,0.521836,0.632755,0.649521,2,6348,1550,4798,1550,24.417139,335418.015381,51950.780762,9140.625000,47916.859340,7421.540109,1305.803571,61290.509326,7443.968652,4570.312500
2,4h,0.001936,9.240134,516.638207,0.525424,0.632755,0.649521,2,3159,757,2402,757,24.026591,728046.968262,131923.436523,36562.500000,80894.107585,14658.159614,4062.500000,122461.018652,14670.937500,9140.625000
2,8h,0.001951,9.153346,512.472400,0.516405,0.632755,0.649521,2,1580,378,1202,378,23.924051,1281851.124023,174561.248047,18281.250000,213641.854004,29093.541341,3046.875000,244802.037305,29281.875000,18281.250000
2,12h,0.001963,9.075160,509.476234,0.514016,0.632755,0.649521,2,1049,245,804,245,23.546235,1856653.458984,227992.417969,6602.197266,265236.208426,32570.345424,943.171038,367143.055957,43463.811914,5401.347656
2,24h,0.001965,9.091823,508.939880,0.523664,0.632755,0.649521,2,528,125,403,125,23.674242,3844584.383057,521198.016113,54843.750000,640764.063843,86866.336019,9140.625000,734224.314111,87725.625000,54843.750000
3,15m,0.003352,10.642413,298.286823,2.139954,0.784274,0.812248,2,51117,12684,38433,12684,24.817575,2396.609375,4793.218750,0.000000,479.321875,958.643750,0.000000,479.321875,958.643750,0.000000
3,30m,0.003736,9.913818,267.665527,2.141224,0.784274,0.812248,2,25504,6307,19197,6307,24.745138,4652.738281,9305.476562,0.000000,930.547656,1861.095313,0.000000,930.547656,1861.095312,0.000000
3,1h,0.003986,9.510209,250.852624,2.136503,0.784274,0.812248,2,12683,3092,9591,3092,24.402744,9164.996094,18329.992188,0.000000,1832.999219,3665.998437,0.000000,1832.999219,3665.998437,0.000000
3,2h,0.004099,9.317656,243.975019,2.139723,0.784274,0.812248,2,6333,1536,4797,1536,24.269698,149275.077930,43826.755859,907.031250,24879.179655,7304.459310,151.171875,131095.085742,7466.771484,907.031250
3,4h,0.004179,9.187403,239.291234,2.136613,0.784274,0.812248,2,3154,754,2400,754,23.969562,560472.659180,101832.318359,3628.906250,80067.522740,14547.474051,518.415179,262126.577637,14696.655273,1814.453125
3,8h,0.004261,9.098415,234.665078,2.126040,0.784274,0.812248,2,1570,368,1202,368,23.566879,596422.163086,173731.326172,3628.906250,99403.693848,28955.221029,604.817708,524133.155273,29153.310547,3628.906250
3,12h,0.004310,9.035613,232.030489,2.118208,0.784274,0.812248,2,1042,241,801,241,23.128599,4039066.695801,434785.891602,27216.796875,403906.669580,43478.589160,2721.679688,786139.732910,43609.965820,5443.359375
3,24h,0.004254,9.093079,235.064748,2.132640,0.784274,0.812248,2,525,124,401,124,23.809524,4933064.459961,694111.919922,32660.156250,616633.057495,86763.989990,4082.519531,1572159.465820,86979.931641,10886.718750
4,15m,0.001710,11.001955,584.746213,0.884797,0.638221,0.640865,2,51184,12725,38459,12725,24.865192,43856.404541,7447.809082,845.947266,6265.200649,1063.972726,120.849609,8025.259424,1077.518848,422.973633
4,30m,0.001866,10.095079,535.904892,0.884104,0.638221,0.640865,2,25585,6354,19231,6354,24.842681,87142.809082,13755.618164,1691.894531,12448.972726,1965.088309,241.699219,15960.518848,1975.037695,845.947266
4,1h,0.001961,9.597996,509.997583,0.884768,0.638221,0.640865,2,12716,3113,9603,3113,24.488833,181283.342407,30164.184814,5075.683594,22660.417801,3770.523102,634.460449,31888.539575,3776.579150,1691.894531
4,2h,0.002009,9.368199,497.829752,0.882515,0.638221,0.640865,2,6351,1551,4800,1551,24.437097,376724.623901,66501.747803,13535.156250,41858.291545,7389.083089,1503.906250,63744.581030,7400.859375,3383.789062
4,4h,0.002041,9.206689,489.987778,0.885522,0.638221,0.640865,2,3159,758,2401,758,24.058246,753046.757202,131656.014404,27070.312500,83671.861911,14628.446045,3007.812500,127456.663940,14681.718750,6767.578125
4,8h,0.002054,9.125334,486.742271,0.876341,0.638221,0.640865,2,1576,374,1202,374,23.857868,1505403.514404,261932.028809,54140.625000,167267.057156,29103.558757,6015.625000,254823.327881,29243.437500,13535.156250
4,12h,0.002071,9.001628,482.844624,0.869004,0.638221,0.640865,2,1041,238,803,238,22.958694,1997940.046631,260825.093262,20302.734375,332990.007772,43470.848877,3383.789062,382247.493701,43805.156250,20302.734375
4,24h,0.002056,9.083629,486.463642,0.847218,0.638221,0.640865,2,528,125,403,125,24.053030,3822024.937012,433139.874023,0.000000,764404.987402,86627.974805,0.000000,764404.987402,86627.974805,0.000000
5,15m,0.004299,10.644843,232.635008,4.970736,0.566964,0.575949,2,51134,12693,38441,12693,24.828881,100056.912598,9468.325195,1880.859375,11117.434733,1052.036133,208.984375,23495.712891,1091.425781,470.214844
5,30m,0.004653,9.934360,214.912996,4.975238,0.566964,0.575949,2,25499,6315,19184,6315,24.769599,58781.100098,11632.700195,940.429688,9796.850016,1938.783366,156.738281,46901.425781,2002.851562,940.429688
