data_transfer_rate_mbps,rate_dir,workflow_type,composition_number,event_throughput,wall_time_per_event,cpu_time_per_event,network_transfer_mb_per_event,cpu_utilization,memory_occupancy,total_groups,job_overhead_secs_mean,job_overhead_secs_std,job_overhead_cpu_time_mean,job_overhead_cpu_time_std,job_overhead_sample_count
100,100MBps,case2_homo,1,0.017434,7.387713,57.360822,0.449219,1.000000,1.000000,1,318.428194,38.709845,2547.425551,309.678756,170
100,100MBps,case2_homo,2,0.017456,7.378105,57.286288,0.512695,1.000000,1.000000,2,260.497167,48.423282,2083.977335,387.386254,172
100,100MBps,case2_homo,3,0.017474,7.370672,57.229215,0.825195,1.000000,1.000000,2,220.215732,92.162667,1761.725854,737.301332,171
100,100MBps,case2_homo,4,0.017394,7.404487,57.492384,4.674047,1.000000,1.000000,2,410.200363,195.886542,3281.602907,1567.092340,172
100,100MBps,case2_homo,5,0.017458,7.377178,57.280379,2.028049,1.000000,1.000000,2,257.632924,132.276058,2061.063391,1058.208463,171
100,100MBps,case2_homo,6,0.017473,7.370827,57.230453,0.888672,1.000000,1.000000,3,218.564484,92.838526,1748.515873,742.708208,173
100,100MBps,case2_homo,7,0.017399,7.402082,57.473544,4.738679,1.000000,1.000000,3,394.226045,176.864207,3153.808359,1414.913656,173
100,100MBps,case2_homo,8,0.017467,7.373313,57.250178,2.091793,1.000000,1.000000,3,231.506489,109.929644,1852.051915,879.437149,174
100,100MBps,case2_homo,9,0.017397,7.403201,57.482121,5.061309,1.000000,1.000000,3,400.413654,184.776870,3203.309230,1478.214960,173
100,100MBps,case2_homo,10,0.017470,7.372095,57.241007,2.406444,1.000000,1.000000,3,226.216843,117.505814,1809.734746,940.046511,173
100,100MBps,case2_homo,11,0.017372,7.413128,57.562329,6.251887,1.000000,1.000000,3,458.364808,386.925776,3666.918461,3095.406204,173
100,100MBps,case2_homo,12,0.017396,7.403296,57.482879,5.124785,1.000000,1.000000,4,396.379016,188.436456,3171.032125,1507.491646,175
100,100MBps,case2_homo,13,0.017470,7.372250,57.242245,2.469921,1.000000,1.000000,4,223.240225,118.539555,1785.921796,948.316437,176
100,100MBps,case2_homo,14,0.017378,7.410843,57.544449,6.316520,1.000000,1.000000,4,440.364314,378.460910,3522.914513,3027.687279,175
100,100MBps,case2_homo,15,0.017375,7.411903,57.552546,6.639149,1.000000,1.000000,4,446.138350,382.280663,3569.106804,3058.245303,175
100,100MBps,case2_homo,16,0.017375,7.411997,57.553304,6.702626,1.000000,1.000000,5,441.632638,382.538143,3533.061105,3060.305145,177
100,100MBps,case3_hetero,1,0.002179,7.387713,458.886579,0.449219,0.264040,0.297781,1,318.428194,38.709845,20379.404412,2477.430048,170
100,100MBps,case3_hetero,2,0.002197,7.378105,455.235560,0.512695,0.632755,0.649521,2,260.497167,48.423282,16353.531977,2854.646622,172
100,100MBps,case3_hetero,3,0.002307,7.370672,433.492190,0.825195,0.638221,0.640865,2,220.215732,92.162667,12096.548063,2898.849155,171
100,100MBps,case3_hetero,4,0.004797,7.377178,208.460144,2.028049,0.784274,0.812248,2,257.632924,132.276058,11473.064693,12840.458271,171
100,100MBps,case3_hetero,5,0.005752,7.404487,173.858092,4.674047,0.566964,0.575949,2,410.200363,195.886542,14598.506977,19599.033365,172
100,100MBps,case3_hetero,6,0.002307,7.370827,433.492809,0.888672,0.758814,0.768910,3,218.564484,92.838526,11960.281973,3146.788037,173
100,100MBps,case3_hetero,7,0.004874,7.373313,205.160191,2.091793,0.858948,0.877561,3,231.506489,109.929644,9552.128143,10931.912537,174
100,100MBps,case3_hetero,8,0.005860,7.402082,170.652626,4.738679,0.717720,0.723329,3,394.226045,176.864207,13327.069689,18091.039100,173
100,100MBps,case3_hetero,9,0.005441,7.372095,183.796436,2.406444,0.881173,0.889815,3,226.216843,117.505814,7504.629958,9161.305848,173
100,100MBps,case3_hetero,10,0.006692,7.403201,149.427255,5.061309,0.773810,0.765476,3,400.413654,184.776870,12023.735983,18020.382960,173
100,100MBps,case3_hetero,11,0.006841,7.413128,146.174382,6.251887,0.937500,0.943490,3,458.364808,386.925776,14367.577962,19826.605576,173
100,100MBps,case3_hetero,12,0.005441,7.372250,183.797055,2.469921,0.910880,0.923611,4,223.240225,118.539555,7380.227530,9131.689305,176
100,100MBps,case3_hetero,13,0.006692,7.403296,149.427634,5.124785,0.830357,0.830357,4,396.379016,188.436456,11888.487929,17961.025942,175
100,100MBps,case3_hetero,14,0.006994,7.410843,142.976596,6.316520,0.957933,0.962139,4,440.364314,378.460910,13073.776250,18277.187662,175
100,100MBps,case3_hetero,15,0.008214,7.411903,121.747385,6.639149,1.000000,0.993750,4,446.138350,382.280663,11763.394929,18278.984710,175
100,100MBps,case3_hetero,16,0.008214,7.411997,121.747764,6.702626,1.000000,1.000000,5,441.632638,382.538143,11632.616808,18216.217920,177
1000,1GBps,case1_real,1,0.017444,7.383417,57.327466,0.449219,0.762681,0.606884,1,293.901643,35.729180,2351.213143,285.833442,170
1000,1GBps,case1_real,2,0.017529,7.373241,57.047363,0.512695,0.882299,0.803832,2,232.945066,34.896347,1857.671171,305.521475,172
1000,1GBps,case1_real,3,0.017998,7.363020,55.562305,0.825195,0.677404,0.806731,2,176.126836,21.683617,1370.436474,246.990969,171
