Composition,Target_Job_Length,Event_Throughput,Wall_Time_Per_Event,CPU_Time_Per_Event,Network_Transfer_MB_Per_Event,CPU_Utilization,Memory_Occupancy,Total_Groups,Total_Logical_Jobs,Total_Failed_Jobs,Failure_Rate_Actual_%,Total_Wasted_CPU_Time_s,Total_Wasted_Wall_Time_s,Total_Wasted_Network_MB,Avg_CPU_Per_Failure_s,Avg_Wall_Per_Failure_s,Avg_Network_Per_Failure_MB,Max_CPU_Per_Failure_s,Max_Wall_Per_Failure_s,Max_Network_Per_Failure_MB
10,24h,0.006070,9.425088,164.746675,5.257741,0.773810,0.765476,3,85,25,29.411765,15708720.000000,2093104.000000,289706.601562,628348.800000,83724.160000,11588.264063,2764800.000000,86400.000000,56425.781250
11,1h,0.006159,9.030663,162.370516,6.614602,0.937500,0.943490,3,1923,454,23.608944,13794822.800000,1633987.200000,328119.921875,30385.072247,3599.090749,722.731105,93600.000000,3600.000000,1880.859375
11,6h,0.006186,9.379828,161.642394,6.642871,0.937500,0.943490,3,326,94,28.834356,14887412.800000,1983040.800000,388164.765625,158376.731915,21096.178723,4129.412400,561600.000000,21600.000000,11285.156250
11,12h,0.006028,9.480336,165.882399,6.697536,0.937500,0.943490,3,165,48,29.090909,17255080.800000,2018751.200000,431959.843750,359480.850000,42057.316667,8999.163411,1123200.000000,43200.000000,22570.312500
11,18h,0.006087,9.517962,164.274672,6.658613,0.937500,0.943490,3,112,34,30.357143,17524546.400000,2164373.600000,410340.009766,515427.835294,63658.047059,12068.823817,1684800.000000,64800.000000,33855.468750
11,24h,0.006174,9.416821,161.958730,6.575181,0.937500,0.943490,3,86,24,27.906977,15137592.000000,1912039.800000,338634.208984,630733.000000,79668.325000,14109.758708,2246400.000000,86400.000000,45140.625000
12,1h,0.004911,9.028929,203.608226,2.632989,0.910880,0.923611,4,1926,463,24.039460,13153503.500000,1657484.350000,151677.766113,28409.294816,3579.879806,327.597767,74114.800000,3600.000000,2285.156250
12,6h,0.004850,9.393816,206.193335,2.671988,0.910880,0.923611,4,330,93,28.181818,15292782.600000,1966349.400000,177549.028320,164438.522581,21143.541935,1909.129337,444744.400000,21599.900000,11601.508789
12,12h,0.004702,9.549883,212.684313,2.650937,0.910880,0.923611,4,169,44,26.035503,14302719.700000,1829123.750000,143518.190918,325061.811364,41570.994318,3261.777066,889544.400000,43199.800000,23203.017578
12,18h,0.004807,9.526103,208.028341,2.674632,0.910880,0.923611,4,115,34,29.565217,15331540.200000,2106513.300000,159768.588867,450927.652941,61956.273529,4699.076143,1334400.000000,64800.000000,34804.526367
12,24h,0.004765,9.592499,209.881987,2.591505,0.910880,0.923611,4,90,23,25.555556,13321306.700000,1828529.050000,90334.733887,579187.247826,79501.263043,3927.597126,1779144.400000,86397.300000,12499.609375
13,1h,0.006065,9.034690,164.881932,5.462162,0.830357,0.830357,4,1929,469,24.313116,13625677.500000,1681768.250000,308912.463379,29052.617271,3585.859808,658.661969,115200.000000,3600.000000,2351.074219
13,6h,0.006057,9.320830,165.105531,5.404484,0.830357,0.830357,4,328,86,26.219512,12984931.600000,1794447.800000,275381.503906,150987.576744,20865.672093,3202.110511,691200.000000,21600.000000,14106.445312
13,12h,0.005750,9.514850,173.917573,5.567305,0.830357,0.830357,4,167,49,29.341317,21263140.800000,2053266.400000,432730.917969,433941.648980,41903.395918,8831.243224,1382400.000000,43200.000000,28212.890625
13,18h,0.006061,9.442616,164.976997,5.379376,0.830357,0.830357,4,117,33,28.205128,15898928.800000,2014978.400000,333681.279297,481785.721212,61059.951515,10111.553918,2073600.000000,64800.000000,42319.335938
13,24h,0.005969,9.513540,167.543215,5.416271,0.830357,0.830357,4,89,27,30.337079,18159672.200000,2181556.100000,347912.045898,672580.451852,80798.374074,12885.631330,2764800.000000,86400.000000,56425.781250
14,1h,0.006276,9.029441,159.334855,6.690122,0.957933,0.962139,4,1926,455,23.624091,13735970.400000,1632774.700000,334585.659180,30188.945934,3588.515824,735.353097,95807.400000,3600.000000,2285.156250
14,6h,0.006285,9.319658,159.108807,6.693107,0.957933,0.962139,4,330,92,27.878788,13979325.600000,1901284.400000,358846.562500,151949.191304,20666.134783,3900.506114,574844.400000,21599.600000,11573.554688
